Age,Gender,Weight (kg),Height (m),Session_Duration (hours),Calories_Burned,Workout_Type
56,Male,88.3,1.71,1.69,1313,Yoga
46,Female,74.9,1.53,1.3,883,HIIT
32,Female,68.1,1.66,1.11,677,Cardio
25,Male,53.2,1.7,0.59,532,Strength
38,Male,46.1,1.79,0.64,556,Strength
56,Female,58,1.68,1.59,1116,HIIT
36,Male,70.3,1.72,1.49,1385,Cardio
40,Female,69.7,1.51,1.27,895,Cardio
28,Male,121.7,1.94,1.03,719,Strength
28,Male,101.8,1.84,1.08,808,Cardio
41,Male,120.8,1.67,0.82,593,HIIT
53,Male,51.7,1.7,1.15,865,HIIT
57,Male,112.5,1.61,1.24,1013,Cardio
41,Male,94.5,2,1.18,794,HIIT
20,Male,117.7,1.81,1.35,1195,Yoga
39,Female,42.5,1.75,1.13,740,Strength
19,Female,64,1.53,1.33,1111,HIIT
41,Female,43.8,1.77,1.19,884,Cardio
47,Female,66.8,1.75,1.13,742,Strength
55,Female,75.2,1.67,1.37,1030,HIIT
19,Male,89,1.77,1.5,1048,Strength
38,Male,71.9,1.77,1.12,875,Cardio
50,Female,71,1.68,1.17,848,Yoga
29,Male,120.9,1.78,0.78,721,Yoga
39,Female,64.3,1.69,1.25,925,HIIT
42,Female,63.7,1.71,1.42,1080,Yoga
44,Male,65.2,1.8,0.73,502,HIIT
59,Male,53.9,1.75,1.48,989,Strength
45,Male,84.9,1.86,1.64,1104,HIIT
33,Female,78,1.68,1.29,871,HIIT
32,Male,108.2,1.8,1.27,964,HIIT
20,Female,65.4,1.52,1.03,654,Yoga
54,Female,50.2,1.61,1.48,1046,HIIT
24,Female,58.9,1.51,1.04,816,Cardio
38,Male,81.4,1.71,1.52,1237,HIIT
26,Male,127.6,1.73,1.32,1162,Strength
56,Female,59.3,1.56,1.26,879,Cardio
35,Male,96.9,1.71,1.34,1069,Strength
21,Male,62.6,1.81,1.3,1072,Strength
42,Male,45.5,1.6,1.31,1057,Strength
31,Female,48.8,1.51,1.48,969,Cardio
26,Female,44.3,1.6,1.08,734,Cardio
43,Male,113.2,1.83,1.45,962,Yoga
19,Female,60.5,1.59,1.14,730,Cardio
37,Male,124.2,1.76,1.5,1304,HIIT
45,Male,52.4,1.85,1.2,956,Strength
24,Male,54.7,1.74,0.84,772,Yoga
25,Male,88.1,1.95,1.41,1016,Cardio
52,Female,59.7,1.71,1.23,836,Strength
31,Female,79.7,1.54,1.03,742,Cardio
34,Female,51,1.62,1.42,1122,Yoga
53,Male,84.2,1.76,1.67,1133,Cardio
57,Male,122.1,1.89,1.13,750,Cardio
21,Male,96.7,1.72,1.26,1046,Strength
19,Female,73,1.79,0.81,506,HIIT
23,Male,114.8,1.6,1.47,1318,Cardio
59,Female,65.5,1.52,1.4,1021,Yoga
21,Female,50.3,1.52,1.08,832,Cardio
46,Female,61,1.71,1.67,1150,Cardio
35,Female,44.6,1.62,0.56,440,HIIT
43,Female,58.2,1.61,1.04,580,Strength
51,Female,44.8,1.63,1.08,666,Yoga
27,Male,87.5,1.63,1.75,1299,Strength
53,Male,51.8,1.74,1.23,773,Strength
31,Female,64.4,1.7,1.97,1418,Strength
48,Female,67.1,1.61,0.62,421,Cardio
32,Male,85.9,1.6,1.99,1587,HIIT
25,Female,65.4,1.77,0.89,627,Cardio
31,Female,61.1,1.76,1.81,1358,Yoga
40,Male,106.5,1.65,1.32,1176,HIIT
57,Female,64,1.52,1.73,1004,Strength
38,Female,61.4,1.54,1.47,963,HIIT
33,Female,40.5,1.63,1.07,786,Yoga
35,Male,70.1,1.79,1.08,743,Cardio
41,Male,94.1,1.62,1.13,777,Cardio
43,Male,55.5,1.82,1.08,663,Strength
42,Female,53.7,1.72,1.37,875,Cardio
58,Female,66.1,1.75,0.63,363,Cardio
46,Male,103.9,1.77,1.18,864,Yoga
32,Female,61.7,1.58,1.87,1262,HIIT
18,Female,52.3,1.74,1.2,990,Cardio
42,Female,59.5,1.74,1.78,1129,Yoga
24,Female,72.9,1.76,0.86,546,Yoga
26,Female,76.7,1.63,1.08,751,Strength
41,Male,72.1,1.83,1.13,744,Yoga
18,Female,54.8,1.68,1.27,1003,Strength
25,Male,105,1.88,1.34,1150,Cardio
41,Female,55,1.55,1.45,1103,Strength
28,Male,81.6,1.66,1.09,917,Yoga
34,Female,75.6,1.6,0.64,416,HIIT
25,Male,81.5,1.61,1.93,1688,HIIT
52,Female,61.5,1.69,1.8,1231,Cardio
52,Male,74,1.63,1.26,936,Cardio
50,Female,56.4,1.59,1.26,924,HIIT
22,Male,102.6,1.84,1.25,1052,Strength
59,Female,54.6,1.57,0.58,441,Cardio
56,Male,129,1.78,1.29,805,Yoga
58,Male,103.5,1.66,1.33,1106,Cardio
45,Female,59.4,1.51,1.15,735,Strength
24,Female,60.1,1.79,1.97,1625,Cardio
26,Male,77.7,1.62,1.16,804,Yoga
25,Female,41.2,1.62,1.49,1073,Yoga
29,Male,58.6,1.61,1.2,805,Yoga
51,Male,109.3,1.78,0.54,420,Strength
50,Male,69.6,1.96,0.97,667,Strength
40,Female,56.2,1.79,1.79,1369,Yoga
41,Male,71.7,1.96,0.51,424,Yoga
54,Male,86,1.93,1.74,1404,Strength
52,Female,79.4,1.59,1.39,1020,Strength
57,Female,78.4,1.62,1.01,677,Strength
39,Female,55.4,1.6,1.44,979,HIIT
44,Female,61.7,1.55,1.41,819,Strength
52,Male,85.5,1.82,1.78,1357,Yoga
18,Male,87.6,1.93,1.72,1315,HIIT
52,Male,82.4,1.72,1.01,685,Strength
54,Male,67,1.68,0.55,446,Yoga
31,Female,42.3,1.6,1.09,888,Cardio
20,Male,82.7,1.99,1.69,1357,HIIT
18,Male,92.4,1.74,1.41,1303,Yoga
22,Female,63.2,1.54,1.02,790,Cardio
